Location,Bedrooms,Bathrooms,Amenities,Price
"Rhapta rd, Westlands Area, Westlands",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 390,000
 / mont"
"USD 1,200- p.m., Kileleshwa",3,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet']",Price not communicated
"wood avenue, Kilimani",1,1,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 150,000
 / mont"
Kilimani,3,4,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included']"," 270,000
 / mont"
"Off Thigiri ridge road, 2, Thigiri, Westlands",4,6,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 430,000
 / mont"
"Karen, Fair Acres",2,3,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Service Charge Included']"," 80,000
 / mont"
Mombasa Road,2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 300,000
 / mont"
"Muthangari Drive, Westlands Area, Westlands",,,[]," 226,500
 / mont"
Mombasa Road,,,[]," 3,920,450
 / mont"
"kitisuru, Kitisuru, Westlands",,,[]," 75,000
 / mont"
"Muthithi road, Parklands, Westlands",1,1,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 200,000
 / mont"
"Runda, Westlands",5,5,[]," 300,000
 / mont"
"Nyari, Westlands",2,,[]," 250,000
 / mont"
Lavington,2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
Lavington,1,1,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 120,000
 / mont"
Kilimani,2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']",Price not communicated
"Church rd, 106, Westlands Area, Westlands",3,2,"['BBQ', 'Balcony', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 25,000,000
 / mont"
"Moi Avenue, opposite Khoja Mosque, Nairobi CBD",,,"['Backup Generator', 'Balcony', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included']"," 30,000
 / mont"
"Dennis Pritt, Kilimani",4,4,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 630,000
 / mont"
"Hardy, Karen Hardy",4,4,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Staff Quarters']"," 250,000
 / mont"
"Eagle Street, Runda, Westlands",7,7,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Serviced', 'Staff Quarters', 'Walk In Closet']"," 850,000
 / mont"
Kilimani,2,2,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
Kileleshwa,3,,"['Backup Generator', 'Balcony', 'Gym', 'Lift/Elevator', 'Swimming Pool']"," 250,000
 / mont"
"Westlands Area, Westlands",2,,"['En Suite', 'Garden', 'Swimming Pool']"," 160,000
 / mont"
