Location,Bedrooms,Bathrooms,Amenities,Price
"Brookside Dr, 18, Brookside, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 150,000
 / mont"
"Lavington, O",4,4,"['En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 250,000
 / mont"
"Westlands Area, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Rhapta Road, Westlands",2,,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Walk In Closet']"," 95,000
 / mont"
Lavington,6,5,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 400,000
 / mont"
"Garden Estate, Roysambu",3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 145,000
 / mont"
"kilimani, Kilimani",3,3,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Kiambu road, 01, Kiambu Road",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 260,000
 / mont"
"3D lane, Karen",4,5,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 370,000
 / mont"
"Gigiri, Westlands",4,4,"['Balcony', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 300,000
 / mont"
Kilimani,,,"['Lift/Elevator', 'Parking']"," 130
 / mont"
"Runda, Westlands",1,,"['Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Serviced', 'Wheelchair Access']"," 95,000
 / mont"
Kileleshwa,2,3,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 240,000
 / mont"
"Runda, 01, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 450,000
 / mont"
Kileleshwa,4,4,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
Kilimani,,,[]," 523,820
 / mont"
"Runda, Westlands",1,2,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Service Charge Included', 'Walk In Closet']"," 120,000
 / mont"
"Riverside Gardens, Westlands Area, Westlands",3,3,"['Bus Stop', 'Hospital', 'School', 'Shopping Centre']"," 250,000
 / mont"
"Riverside, Westlands",1,,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Furnished', 'Parking', 'Service Charge Included', 'Serviced']"," 170,000
 / mont"
"Riverside, Westlands",2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 270,000
 / mont"
"Westlands Area, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 100,000
 / mont"
"Waiyaki Way, Westlands Area, Westlands",,,"['Alarm', 'Backup Generator', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Wheelchair Access']"," 78,000
 / mont"
"Riverside square, Riverside, Westlands",1,1,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 190,000
 / mont"
Kilimani,2,3,"['Alarm', 'BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet', 'Wheelchair Access']"," 80,000
 / mont"
"Limuru Road, Parklands, Westlands",,,"['Backup Generator', 'CCTV', 'Lift/Elevator']"," 525,375
 / mont"
"Westlands Area, Westlands",,1,"['BBQ', 'Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 100,000
 / mont"
"Riverside., Riverside drive, Riverside, Westlands",3,4,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Spring valley, Spring Valley, Westlands",5,5,"['Balcony', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 350,000
 / mont"
"Runda, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 370,000
 / mont"
"Rosslyn, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 220,000
 / mont"
Kileleshwa,3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 200,000
 / mont"
Kilimani,2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 210,000
 / mont"
Lavington,4,4,"['BBQ', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
Lavington,2,2,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Lift/Elevator', 'Parking']"," 70,000
 / mont"
"Church road, Westlands Area, Westlands",3,2,"['Balcony', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters']"," 90,000
 / mont"
Thika Road,,,[]," 80,000
 / mont"
Kileleshwa,2,2,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 220,000
 / mont"
"New Muthaiga Estate, Thigiri Ridge, Thigiri, Westlands",6,6,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Walk In Closet']",Price not communicated
"General Mathenge, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"Dennis pritt, Dennis Pritt",3,2,"['En Suite', 'Garden', 'Parking']"," 100,000
 / mont"
Lavington,5,5,"['Aircon', 'Alarm', 'BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Karura, Westlands",5,6,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 300,000
 / mont"
"riverside drive, 01, Riverside, Westlands",3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool', 'Wheelchair Access']"," 180,000
 / mont"
"Runda, Westlands",5,7,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 600,000
 / mont"
"Westlands Area, Westlands",,,[]," 169,000
 / mont"
"Westlands Area, Westlands",4,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 649,000
 / mont"
"Eliud mathu street, Runda, Westlands",4,4,"['Balcony', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 490,000
 / mont"
"Westlands Area, Westlands",2,,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Furnished', 'Parking', 'Service Charge Included', 'Serviced']"," 200,000
 / mont"
"kilimani, Kilimani",2,2,"['Backup Generator', 'CCTV', 'Electric Fence', 'En Suite', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 100,000
 / mont"
Muthaiga,5,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 840,000
 / mont"
"Westlands, Westlands Area",,,"['Garden', 'Parking']"," 400,000
 / mont"
"Westlands Area, Westlands",4,4,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Rosslyn, Westlands",4,4,"['Alarm', 'Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 375,000
 / mont"
"kilimani, Kilimani",3,2,"['Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 75,000
 / mont"
"Karen, O",4,4,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Serviced', 'Walk In Closet']"," 350,000
 / mont"
Kilimani,6,6,[]," 800,000
 / mont"
"Karura, Westlands",,,[]," 400,000
 / mont"
"Nairobi, Westlands Area, Westlands",,,"['Backup Generator', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included']"," 137,700
 / mont"
"Loresho, Westlands",,,[]," 600,000
 / mont"
Karen,5,4,"['Aircon', 'Backup Generator', 'Balcony', 'Borehole', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Parking', 'Swimming Pool']"," 390,000
 / mont"
"Kitisuru, 01, Westlands",2,2,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 75,000
 / mont"
"Runda, Westlands",5,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 500,000
 / mont"
Mombasa Road,,,[]," 352,000
 / mont"
"Limuru Road, Parklands, Westlands",2,2,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 170,000
 / mont"
"Kitale lane, Kilimani",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 200,000
 / mont"
Karen,5,5,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 410,000
 / mont"
"Kitisuru, O, Westlands",4,4,"['En Suite', 'Garden']"," 400,000
 / mont"
"Argwings Kodhek, Kilimani",3,3,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Wheelchair Access']"," 120,000
 / mont"
"Spring Valley, Westlands",6,6,"['Alarm', 'BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 450,000
 / mont"
"Kitisuru, 01, Westlands",2,2,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 75,000
 / mont"
"Royale road, Karen",3,3,"['Balcony', 'En Suite', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 150,000
 / mont"
Lavington,4,4,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 410,000
 / mont"
Kileleshwa,3,3,"['Balcony', 'En Suite', 'Parking']"," 200,000
 / mont"
"Lake View Estate, Lower Kabete, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 550,000
 / mont"
"Gichugu rd, 95, Kileleshwa",4,4,"['Alarm', 'BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 180,000
 / mont"
"Kitisuru, 01, Westlands",2,2,"['BBQ', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 75,000
 / mont"
"Mimosa, 01, Rosslyn, Westlands",4,4,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 300,000
 / mont"
"Parklands, Westlands",,,[]," 715,000
 / mont"
"Kindaruma Road, Kilimani",,,"['Backup Generator', 'CCTV', 'Electric Fence', 'Furnished', 'Lift/Elevator', 'Parking', 'Wheelchair Access']"," 193,760
 / mont"
"Westlands Area, Westlands",1,,"['Balcony', 'En Suite', 'Garden']"," 100,000
 / mont"
"General Mathenge, Westlands",3,3,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 150,000
 / mont"
"Lone Tree Estate, Rosslyn, Westlands",1,1,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Serviced', 'Walk In Closet']"," 130,000
 / mont"
"Nyari, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 370,000
 / mont"
"School lane, 25, Westlands Area, Westlands",3,2,"['Alarm', 'Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Lift/Elevator', 'Parking', 'Walk In Closet']"," 90,000
 / mont"
"Riverside, Westlands",1,1,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 175,800
 / mont"
Kilimani,3,3,"['BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 280,000
 / mont"
"Lavington Nairobi, Lavington",4,5,"['Backup Generator', 'Balcony', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 260,000
 / mont"
Kilimani,,,"['Alarm', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 120,000
 / mont"
"City Park drive, Parklands, Westlands",3,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 230,000
 / mont"
"Runda, Westlands",5,5,"['Alarm', 'BBQ', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 380,000
 / mont"
"Lowe kabete, Spring Valley, Westlands",3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool', 'Walk In Closet']"," 350,000
 / mont"
"Bomas, Karen",4,4,"['En Suite', 'Garden', 'Parking', 'Staff Quarters']"," 270,000
 / mont"
"Gigiri, Westlands",3,2,"['CCTV', 'Lift/Elevator', 'Parking', 'Shopping Centre']"," 375,000
 / mont"
"Lakeview, Lake View, Westlands",4,4,"['Alarm', 'Balcony', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Wheelchair Access']"," 600,000
 / mont"
"Runda, Westlands",5,5,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 350,000
 / mont"
Lavington,3,3,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool']"," 130,000
 / mont"
Muthaiga,1,1,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 140,000
 / mont"
"Two Rivers Mall, Rosslyn, Westlands",4,5,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 300,000
 / mont"
Kilimani,,,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 50,000
 / mont"
"Oledume road, Lavington",3,3,"['Garden', 'Parking', 'Staff Quarters', 'Walk In Closet']"," 125,000
 / mont"
"Ole Dume Road, Lavington",1,1,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']"," 65,000
 / mont"
Kiambu Road,4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 250,000
 / mont"
"Gigiri, Westlands",4,3,"['Alarm', 'BBQ', 'Backup Generator', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 270,000
 / mont"
"Rhapta road, Westlands Area, Westlands",3,3,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 280,000
 / mont"
"General Mathenge, Westlands",3,3,"['Backup Generator', 'Balcony', 'CCTV', 'En Suite', 'Gym', 'Lift/Elevator', 'Parking', 'Swimming Pool']"," 150,000
 / mont"
"Spring Valley, Westlands",3,2,"['Backup Generator', 'Garden', 'Gym']"," 200,000
 / mont"
Kileleshwa,3,3,"['En Suite', 'Gym', 'Swimming Pool']"," 250,000
 / mont"
"Karen hardy, Karen",5,5,"['Balcony', 'En Suite', 'Garden', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet']"," 500,000
 / mont"
"loresho, Loresho, Westlands",3,2,"['Alarm', 'En Suite', 'Garden', 'Parking', 'Wheelchair Access']"," 130,000
 / mont"
"Baringo dr, 2, Lake View, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 3,500
 / mont"
"George Padmore, Kilimani",3,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 120,000
 / mont"
"General Mathenge, 02, Westlands Area, Westlands",2,2,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet']"," 75,000
 / mont"
"Westlands Road, Westlands Area, Westlands",,,['Parking']," 410,000
 / mont"
"Runda, Westlands",5,4,"['BBQ', 'En Suite', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters']"," 350,000
 / mont"
"Runda, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"kilimani, Kilimani",3,3,"['Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Parking', 'Service Charge Included', 'Walk In Closet']"," 90,000
 / mont"
"City park drive, 0084, Parklands, Westlands",3,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']"," 350,000
 / mont"
"Rosslyn, Westlands",4,5,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']"," 400,000
 / mont"
"Westlands Area, Westlands",2,,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Furnished', 'Gym', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Serviced', 'Swimming Pool']"," 150,000
 / mont"
"Riverside, Westlands",4,4,"['Balcony', 'En Suite', 'Garden', 'Parking', 'Staff Quarters']"," 300,000
 / mont"
"Crimson Court Along Riverside, Riverside, Westlands",1,2,"['Aircon', 'Alarm', 'Balcony', 'Electric Fence', 'En Suite', 'Furnished', 'Garden', 'Service Charge Included', 'Walk In Closet']"," 90,000
 / mont"
"Loresho, Westlands",4,4,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']"," 800,000
 / mont"
